#{"t_start": 1770463446.4266129, "env_id": "None"}
r,l,t
-245.9,128,257.164912
-96.4,128,257.425137
-147.9,128,257.68264
-247.9,128,257.949872
-289.3,128,258.213149
-216.9,128,258.473317
-134.0,128,258.740166
-28.6,128,259.007492
-361.4,128,259.270465
-1.0,128,259.532303
-229.2,128,259.804056
-288.3,128,260.06697
-422.0,128,260.318712
-349.0,128,260.570575
-779.5,128,260.82628
-570.7,128,261.083798
-465.7,128,261.334278
-148.7,128,261.581331
-268.1,128,261.827082
-79.9,128,262.074022
-176.8,128,262.32296
-115.0,128,262.575249
-106.9,128,262.840928
-415.1,128,263.1026
-166.7,128,263.350724
-180.7,128,263.5965
-97.8,128,263.838059
-397.7,128,264.08551
-182.4,128,264.334377
-261.9,128,264.592616
-618.8,128,264.851739
-761.5,128,265.118487
-254.0,128,265.379771
-190.4,128,265.656138
-248.0,128,265.926478
-110.4,128,266.188741
-82.5,128,266.451022
-181.9,128,266.715619
-136.6,128,266.979726
-425.1,128,267.249482
-423.1,128,267.495616
-870.0,128,267.74471
-387.1,128,267.990709
-217.1,128,268.253651
-20.8,128,268.511318
-109.9,128,268.773441
-265.3,128,269.036287
-471.0,128,269.30221
-136.7,128,269.56568
-99.7,128,269.874506
-141.5,128,270.152593
-103.3,128,270.417974
-179.2,128,270.68162
-53.3,128,270.950737
-155.5,128,271.21084
-61.2,128,271.477859
-92.6,128,271.737817
-268.0,128,272.000729
-193.6,128,272.265108
-173.8,128,272.531479
-170.5,128,272.794845
-208.0,128,273.058424
-129.6,128,273.318218
-204.0,128,273.587213
-166.0,128,273.850092
-126.4,128,274.112013
-187.3,128,274.369327
-184.4,128,274.65251
-90.2,128,274.929658
-150.7,128,275.187936
-155.1,128,275.448756
-203.2,128,275.721693
-172.4,128,275.98602
-169.6,128,276.247784
-75.0,128,276.509915
-164.0,128,276.774219
-200.1,128,277.03667
-154.4,128,277.295682
-59.9,128,277.549737
-154.1,128,277.815777
-134.3,128,278.07539
-160.2,128,278.330986
-156.8,128,278.592018
-197.1,128,278.860118
-96.4,128,279.129266
-197.4,128,279.39752
-67.1,128,279.664536
-74.5,128,279.930641
-578.0,128,280.196012
-778.0,128,280.461132
-602.0,128,280.722455
-553.1,128,280.990637
-608.9,128,281.252707
-599.3,128,281.512424
-132.4,128,281.774516
-268.4,128,282.038754
-201.7,128,282.299394
-253.2,128,282.554685
-657.2,128,282.802193
-136.6,128,283.063458
-234.3,128,283.325044
-132.2,128,283.589631
-210.2,128,283.856972
-76.3,128,284.121012
-148.5,128,284.383583
-67.7,128,284.647626
-213.2,128,284.970788
-268.4,128,285.24901
-188.1,128,285.512953
-69.8,128,285.781496
-292.5,128,286.046846
-175.8,128,286.315567
-305.9,128,286.571077
-43.9,128,286.838346
-60.9,128,287.101424
-73.3,128,287.37254
-177.5,128,287.634606
-71.6,128,287.898809
-247.0,128,288.161214
-148.2,128,288.430422
-153.7,128,288.693431
-175.9,128,288.958773
-149.0,128,289.222546
-44.6,128,289.487701
-97.1,128,289.778327
-77.8,128,290.04359
-23.7,128,290.302933
-76.8,128,290.571912
-145.1,128,290.836868
-93.8,128,291.104422
-99.4,128,291.369374
-251.7,128,291.631972
-66.1,128,291.890585
-90.4,128,292.153967
-1.6,128,292.419197
-336.0,128,292.690978
-80.8,128,292.952586
-79.1,128,293.214676
-227.9,128,293.474434
-455.6,128,293.741794
-411.7,128,294.000352
-309.5,128,294.262091
-169.0,128,294.523079
-289.7,128,294.787263
-117.6,128,295.050478
-227.9,128,295.312374
-478.1,128,295.576005
-459.4,128,295.848905
-86.1,128,296.111301
-195.6,128,296.377786
-477.4,128,296.638029
-132.3,128,296.904295
-125.8,128,297.170119
-283.4,128,297.437754
-225.0,128,297.702855
-234.8,128,297.969638
-375.0,128,298.234711
-366.7,128,298.494165
-375.6,128,298.757706
-229.8,128,299.027836
-258.1,128,299.29115
-95.9,128,299.540267
-561.5,128,299.840685
-193.5,128,300.145072
-416.2,128,300.413387
-409.7,128,300.683872
-825.9,128,300.959256
-475.3,128,301.226731
-549.8,128,301.488469
-187.1,128,301.753928
-387.5,128,302.017418
-124.3,128,302.286206
-194.0,128,302.54887
-485.0,128,302.81409
-277.7,128,303.076383
-806.2,128,303.344483
-377.0,128,303.607758
-855.5,128,303.872748
-814.7,128,304.136774
-184.6,128,304.402159
-446.5,128,304.673482
-158.0,128,304.950084
-246.2,128,305.221591
-317.0,128,305.494285
-708.2,128,305.759335
-287.4,128,306.018436
-9.8,128,306.275214
-503.7,128,306.543067
-266.1,128,306.800054
-357.7,128,307.05993
-340.4,128,307.318344
-250.7,128,307.583601
-186.4,128,307.840645
-180.4,128,308.102006
-485.7,128,308.366394
-762.5,128,308.638562
-302.8,128,308.898031
-171.0,128,309.158284
-478.9,128,309.418125
-167.2,128,309.684521
-521.4,128,309.943948
-530.6,128,310.199582
-105.6,128,310.458181
-90.3,128,310.723632
-1203.7,128,310.986959
-746.8,128,311.245361
-533.1,128,311.500029
-133.5,128,311.761797
-666.9,128,312.022179
-734.5,128,312.279827
-353.4,128,312.538129
-280.9,128,312.80192
-367.6,128,313.061522
-456.4,128,313.322045
-95.8,128,313.574566
-243.1,128,313.83709
-659.7,128,314.097577
-673.1,128,314.359894
-653.6,128,314.630272
-214.6,128,314.926673
-333.5,128,315.205304
-364.0,128,315.490681
-319.7,128,315.761505
-1019.3,128,316.037133
-861.0,128,316.29614
-167.8,128,316.552131
-550.7,128,316.815107
-222.3,128,317.07273
-496.2,128,317.333654
-77.4,128,317.590003
-246.9,128,317.848611
-171.5,128,318.117515
-55.3,128,318.377004
-70.4,128,318.63336
-170.2,128,318.889383
-22.8,128,319.150855
-126.6,128,319.409451
-378.6,128,319.669067
-132.4,128,319.930439
-70.7,128,320.187165
-123.7,128,320.442592
-121.2,128,320.702169
-75.0,128,320.96471
-54.6,128,321.228195
-428.4,128,321.487106
-266.9,128,321.743605
-107.9,128,322.00511
-164.4,128,322.272106
-229.4,128,322.530239
-119.0,128,322.798045
-396.1,128,323.060622
-286.2,128,323.328678
-243.0,128,323.589072
-160.6,128,323.853585
-337.7,128,324.114579
-295.2,128,324.384287
-225.7,128,324.645776
-258.3,128,324.908202
-93.0,128,325.170395
-208.1,128,325.441188
-433.4,128,325.709547
-781.1,128,325.978341
-370.7,128,326.240988
-588.8,128,326.511481
-233.0,128,326.751849
-117.7,128,326.995286
-226.8,128,327.245134
-218.9,128,327.504716
-162.5,128,327.761635
-113.3,128,328.020052
-291.6,128,328.278911
-135.6,128,328.540012
-174.4,128,328.798922
-303.1,128,329.060425
-125.6,128,329.322124
-265.9,128,329.600567
-70.3,128,329.898176
-290.4,128,330.180727
4.2,128,330.445418
-385.6,128,330.71396
-114.5,128,330.979166
-425.5,128,331.240773
-164.5,128,331.506246
-185.0,128,331.774098
-235.5,128,332.038984
-726.1,128,332.299552
-588.1,128,332.5637
-1534.2,128,332.837671
-289.2,128,333.100916
-860.6,128,333.364211
-199.1,128,333.626052
-364.4,128,333.897481
-620.3,128,334.160059
-597.0,128,334.415919
-577.3,128,334.69458
-203.4,128,334.971145
-754.5,128,335.239356
-794.5,128,335.505739
-354.8,128,335.785331
-515.9,128,336.056395
-1924.4,128,336.325267
-131.7,128,336.589267
-523.0,128,336.857138
-1133.2,128,337.127888
-779.8,128,337.394725
-768.3,128,337.659669
-348.3,128,337.922826
-417.4,128,338.183811
-626.4,128,338.450977
-945.1,128,338.71661
-438.7,128,338.986113
-830.9,128,339.255778
-1168.4,128,339.523796
-151.3,128,339.79097
-1267.3,128,340.062868
-554.5,128,340.33684
-1133.5,128,340.611422
-411.5,128,340.888251
-875.0,128,341.155542
-445.8,128,341.426361
-1752.9,128,341.69551
-866.9,128,341.964181
-1326.2,128,342.235733
-1674.0,128,342.51491
-969.4,128,342.790858
-230.5,128,343.063371
-615.6,128,343.337814
-562.1,128,343.612315
-280.6,128,343.876874
-288.4,128,344.14319
-220.3,128,344.41256
-127.8,128,344.681917
-1374.3,128,344.994656
-439.7,128,345.254301
-297.1,128,345.505991
-517.3,128,345.784537
-308.3,128,346.043017
-78.3,128,346.304433
-318.7,128,346.574748
-679.7,128,346.850763
-1507.6,128,347.126613
-95.6,128,347.398409
-343.3,128,347.674625
-370.0,128,347.959815
-536.7,128,348.233389
-676.3,128,348.513246
-402.4,128,348.787286
-541.3,128,349.05944
-551.2,128,349.324847
-197.9,128,349.595347
-720.5,128,349.866787
-408.8,128,350.1459
-431.6,128,350.413105
-354.8,128,350.68337
-1067.4,128,350.95248
-430.1,128,351.227884
-647.3,128,351.494296
-629.8,128,351.76357
-692.0,128,352.028762
-321.4,128,352.299371
-374.6,128,352.566347
-260.0,128,352.838278
-391.1,128,353.107319
-40.5,128,353.383024
-244.7,128,353.656655
-205.1,128,353.918122
-57.7,128,354.179541
-222.7,128,354.444901
-27.6,128,354.715079
-234.1,128,354.98103
-191.6,128,355.247428
8.4,128,355.516447
-383.9,128,355.788694
-432.4,128,356.058047
-642.8,128,356.325813
-1167.2,128,356.597869
-911.5,128,356.864503
-1846.5,128,357.124905
-1165.4,128,357.388163
-936.0,128,357.65276
-39.9,128,357.913775
-416.3,128,358.180364
-728.1,128,358.450556
-265.1,128,358.722944
-146.8,128,358.987881
-402.6,128,359.252823
-591.9,128,359.528173
-757.3,128,359.847964
-293.3,128,360.144154
-224.5,128,360.411017
-10.6,128,360.678658
-117.3,128,360.951106
-17.1,128,361.214218
-30.8,128,361.478913
-422.1,128,361.745185
-62.1,128,362.010095
-547.7,128,362.269531
-80.9,128,362.534886
-476.4,128,362.79751
-118.1,128,363.052818
-519.0,128,363.298891
7.2,128,363.545051
-266.2,128,363.789574
-282.3,128,364.039321
-222.9,128,364.291249
-323.8,128,364.546932
-179.5,128,364.824738
-144.0,128,365.104022
-238.4,128,365.379702
-245.4,128,365.660935
-92.5,128,365.920264
-47.3,128,366.162259
-313.2,128,366.38762
-452.1,128,366.597019
-261.4,128,366.799305
-232.8,128,366.99246
-540.9,128,367.174286
-278.3,128,367.362953
-250.2,128,367.551717
-571.7,128,367.744446
-170.7,128,367.931072
-23.1,128,368.117008
-0.9,128,368.303886
-13.1,128,368.498589
-13.2,128,368.68691
-225.1,128,368.874547
-694.9,128,369.064636
-424.3,128,369.26112
-194.4,128,369.452454
-446.0,128,369.637707
-166.0,128,369.820929
-664.7,128,370.011492
-152.5,128,370.195033
-289.7,128,370.382413
-114.5,128,370.572929
0.2,128,370.770449
-113.0,128,370.961835
