#{"t_start": 1770463446.4266129, "env_id": "None"}
r,l,t
-79.9,128,51.942946
-68.1,128,52.152926
-64.4,128,52.361349
-74.6,128,52.573827
-124.8,128,52.785506
-95.6,128,52.991786
-71.5,128,53.204074
-244.4,128,53.412215
-62.1,128,53.633817
-43.5,128,53.832983
-169.2,128,54.042116
-181.7,128,54.251389
-166.2,128,54.484198
-205.1,128,54.688908
-62.8,128,54.900125
-52.0,128,55.103618
-138.9,128,55.321018
-89.4,128,55.533739
-154.2,128,55.734441
-495.7,128,55.936537
-28.9,128,56.129418
-95.4,128,56.315442
-143.4,128,56.507015
-7.5,128,56.697619
-183.0,128,56.900527
-12.3,128,57.095546
-184.7,128,57.282355
-907.5,128,57.478122
-272.0,128,57.706029
-699.9,128,57.924448
-1227.8,128,58.143615
-236.7,128,58.346279
-475.6,128,58.559201
-471.2,128,58.773843
-304.9,128,58.989301
-478.4,128,59.204768
-342.2,128,59.423715
-169.6,128,59.626852
-271.4,128,59.843759
-70.8,128,60.059435
-50.0,128,60.271206
-540.5,128,60.480623
-266.8,128,60.713174
-359.7,128,60.935575
-560.0,128,61.148797
-279.6,128,61.359288
-247.6,128,61.560282
-85.6,128,61.768142
-26.7,128,61.983434
-9.5,128,62.192129
-217.9,128,62.420885
-102.5,128,62.651243
-100.4,128,62.870241
9.6,128,63.075099
-47.2,128,63.288767
30.4,128,63.499702
-109.1,128,63.711195
-38.7,128,63.925769
-477.1,128,64.149435
9.7,128,64.365044
-149.4,128,64.590385
-65.0,128,64.807662
-152.4,128,65.037017
-17.9,128,65.239897
-95.0,128,65.455983
-63.9,128,65.67099
-93.5,128,65.876704
-401.0,128,66.090565
-127.6,128,66.300288
-288.2,128,66.499768
-165.5,128,66.701086
-165.2,128,66.899464
-205.4,128,67.11573
-84.0,128,67.327972
-37.2,128,67.559016
-324.1,128,67.77769
-352.5,128,67.999457
-345.5,128,68.216033
-460.5,128,68.440006
-542.7,128,68.662144
-137.4,128,68.878174
-300.8,128,69.102182
-120.3,128,69.324768
-86.8,128,69.559379
-156.2,128,69.787263
-754.6,128,70.007305
-348.9,128,70.226978
-378.1,128,70.448716
-368.3,128,70.671406
-167.6,128,70.900408
-224.2,128,71.120198
-554.7,128,71.337949
-290.2,128,71.574498
-107.6,128,71.795105
-74.6,128,72.023372
-19.4,128,72.24854
-165.0,128,72.4741
-95.2,128,72.69745
7.3,128,72.918388
-74.3,128,73.146963
-245.7,128,73.378463
-275.5,128,73.599764
-165.6,128,73.819428
-26.6,128,74.04341
-88.6,128,74.265871
-86.1,128,74.492956
-315.2,128,74.720279
-142.6,128,74.952255
-370.9,128,75.180439
-221.2,128,75.401708
-322.6,128,75.638352
-112.1,128,75.863484
-322.8,128,76.093305
-307.7,128,76.311323
-135.5,128,76.535793
-37.9,128,76.756244
-32.2,128,76.977453
-118.0,128,77.199821
-134.0,128,77.431437
-82.3,128,77.659696
-146.1,128,77.887072
-137.0,128,78.11112
-78.6,128,78.333688
-108.0,128,78.555267
-68.2,128,78.787035
-184.6,128,79.018272
-312.6,128,79.246297
-443.0,128,79.485829
-773.2,128,79.719669
-278.7,128,79.952257
-121.6,128,80.181131
-186.0,128,80.407084
-373.0,128,80.650375
-500.5,128,80.882521
-243.7,128,81.117332
-202.7,128,81.347466
-215.2,128,81.585858
-50.3,128,81.807308
-328.9,128,82.045677
-554.0,128,82.2822
-247.2,128,82.518718
-328.5,128,82.750685
-36.6,128,82.982001
-311.0,128,83.21228
-250.3,128,83.451823
-443.0,128,83.680483
-539.7,128,83.912796
-340.4,128,84.14592
-247.5,128,84.385403
-277.6,128,84.613283
-246.1,128,84.846991
-474.9,128,85.082005
-175.5,128,85.322622
-134.3,128,85.55424
-105.2,128,85.791443
-410.7,128,86.034506
-79.8,128,86.268815
-337.3,128,86.49469
-120.0,128,86.725971
-533.5,128,86.958152
-223.5,128,87.200155
-783.4,128,87.441998
-489.0,128,87.680901
-808.6,128,87.921571
-93.9,128,88.16574
-594.4,128,88.400656
-59.9,128,88.635378
-183.8,128,88.868078
-215.7,128,89.107661
-665.9,128,89.346347
-222.5,128,89.582407
-536.5,128,89.816791
-41.4,128,90.055498
-406.0,128,90.292013
-124.2,128,90.529204
-209.0,128,90.766838
-351.3,128,91.00073
-203.9,128,91.234339
-264.5,128,91.473722
-157.8,128,91.716602
-259.0,128,91.956836
-233.5,128,92.185117
-801.0,128,92.42557
-168.6,128,92.666615
-73.2,128,92.901984
-152.0,128,93.129694
-121.6,128,93.363481
-422.6,128,93.60593
-400.6,128,93.845199
-593.6,128,94.081508
-422.6,128,94.323562
-691.6,128,94.568158
-314.7,128,94.811624
-388.9,128,95.053436
-391.5,128,95.296718
-404.5,128,95.555054
-541.5,128,95.806662
-311.5,128,96.051701
-215.7,128,96.286813
-284.5,128,96.535587
-420.4,128,96.790217
-358.6,128,97.042092
-299.0,128,97.278066
-672.1,128,97.528548
-554.2,128,97.778182
-421.7,128,98.021759
-485.2,128,98.260625
-1075.8,128,98.508084
-1093.3,128,98.760355
